date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:24	24403/24403	---M--	200	added ('OK')	image/jpeg	etag:%225af414fd-5f53%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-5.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-5.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:25	37359/37359	---M--	200	added ('OK')	image/jpeg	etag:%225af41500-91ef%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-7.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-7.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:25	34773/34773	---M--	200	added ('OK')	image/jpeg	etag:%225af41502-87d5%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-8.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/portfolio-8.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:25	4315/4315	---M--	200	added ('OK')	image/png	etag:%225af414c0-10db%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-1.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-1.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:25	3652/3652	---M--	200	added ('OK')	image/png	etag:%225af414c1-e44%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-2.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-2.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:25	5339/5339	---M--	200	added ('OK')	image/png	etag:%225af414c1-14db%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-3.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-3.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:26	5174/5174	---M--	200	added ('OK')	image/png	etag:%225af414c1-1436%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-4.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-4.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:26	4289/4289	---M--	200	added ('OK')	image/png	etag:%225af414c2-10c1%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-5.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-5.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:26	4190/4190	---M--	200	added ('OK')	image/png	etag:%225af414c2-105e%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-6.png	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/brand-6.png	(from https://demo.bootstrapious.com/foliou/2-0-1/)
22:17:31	42916/42916	---M--	200	added ('OK')	image/jpeg	etag:%225af414c7-a7a4%22	https://d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-1-small.jpg	D:/Web_sites/1/d19m59y37dris4.cloudfront.net/foliou/2-0-0/img/gallery-1-small.jpg	(from https://demo.bootstrapious.com/foliou/2-0-1/)
